ID	Length	Adenine	Cytosine	Guanine	Thymine	N	GCcontent	Errors
128|*|c37183_g1_i3	6108	18.3529796987557	29.8952193844139	30.5500982318271	21.2017026850033	0	60.445317616241	0
129|*|c37593_g1_i1	6078	17.670286278381	30.0427772293518	34.1559723593287	18.1309641329385	0	64.1987495886805	0
130|*|c37532_g1_i5	6060	15.3960396039604	30.3300330033003	34.8019801980198	19.4719471947195	0	65.1320132013201	0
131|*|c37651_g1_i7	6057	17.0711573386165	29.5856034340433	32.177645699191	21.1655935281492	0	61.7632491332343	0
132|*|c37053_g1_i6	6040	16.2086092715232	28.8907284768212	33.1622516556291	21.7384105960265	0	62.0529801324503	0
133|*|c37401_g2_i7	6025	20.0663900414938	32.0663900414938	30.655601659751	17.2116182572614	0	62.7219917012448	0
134|*|c37601_g1_i1	6004	22.035309793471	30.3131245836109	26.782145236509	20.8694203864091	0	57.0952698201199	0
135|*|c37573_g5_i1	5997	18.8094047023512	30.1984325496081	31.9659829914957	19.0261797565449	0	62.1644155411039	0
136|*|c37658_g1_i1	5943	18.7952212687195	32.205956587582	30.6915699141848	18.3072522295137	0	62.8975265017668	0
137|*|c37649_g2_i3	5929	18.2661494349806	35.7395850902344	31.5230224321133	14.4712430426716	0	67.2626075223478	0
138|*|c37598_g3_i5	5920	19.6621621621622	32.0945945945946	30.1689189189189	18.0743243243243	0	62.2635135135135	0
139|*|c37415_g1_i1	5916	22.6504394861393	27.6369168356998	27.4002704530088	22.3123732251521	0	55.0371872887086	0
140|*|c37578_g8_i1	5911	19.4721705295212	28.4046692607004	28.9629504313991	23.1602097783793	0	57.3676196920995	0
141|*|c36883_g1_i1	5888	17.1195652173913	29.8063858695652	32.6086956521739	20.4653532608696	0	62.4150815217391	0
142|*|c37659_g4_i3	5871	15.4999148356328	29.73939703628	34.7129960824391	20.0476920456481	0	64.4523931187191	0
143|*|c37635_g9_i1	5861	18.7169425012796	29.0564750042655	30.5238013990787	21.7027810953762	0	59.5802764033441	0
144|*|c37375_g1_i4	5836	17.6833447566827	29.8834818368746	27.8615490061686	24.5716244002742	0	57.7450308430432	0
145|*|c37407_g1_i3	5826	18.468932372125	30.7415036045314	31.8400274630965	18.9495365602472	0	62.5815310676279	0
146|*|c37451_g2_i1	5817	17.3285198555957	29.8091799896854	32.2503008423586	20.6119993123603	0	62.059480832044	0
147|*|c34296_g1_i2	5771	17.5186276208629	26.0266851498874	29.7695373418818	26.6851498873679	0	55.7962224917692	0
148|*|c37594_g1_i1	5750	17.1478260869565	31.9478260869565	31.7391304347826	19.1652173913043	0	63.6869565217391	0
149|*|c37623_g7_i3	5727	18.8580408590885	29.63156975729	30.330015715034	21.1803736685874	0	59.9615854723241	0
150|*|c37236_g1_i3	5700	21.0350877192982	32.8070175438597	27.3859649122807	18.7719298245614	0	60.1929824561404	0
151|*|c37066_g1_i1	5691	19.1881918819188	29.0458618871903	32.5953259532595	19.1706202776313	0	61.6411878404498	0
152|*|c37563_g1_i3	5684	17.8923293455313	30.2779732582688	32.4243490499648	19.405348346235	0	62.7023223082336	0
153|*|c36829_g1_i1	5682	21.3129179866244	24.8152059134108	26.0647659274903	27.8071101724745	0	50.8799718409011	0
154|*|c37585_g1_i4	5673	16.1114049004054	29.9665080204477	34.7258945884012	19.1961924907456	0	64.6924026088489	0
155|*|c37552_g1_i5	5633	19.1904846440618	30.9426593289544	30.2148056097994	19.6520504171844	0	61.1574649387538	0
156|*|c37233_g1_i1	5621	16.2604518768902	29.2830457214019	33.4282156199964	21.0282867817114	0	62.7112613413983	0
157|*|c37512_g1_i5	5603	16.0092807424594	31.5188291986436	33.714081741924	18.7578083169731	0	65.2329109405676	0
158|*|c37553_g1_i2	5597	16.1157763087368	29.7123458995891	34.3755583348222	19.7963194568519	0	64.0879042344113	0
159|*|c37672_g2_i14	5585	17.9767233661594	32.1396598030439	32.408236347359	17.4753804834378	0	64.5478961504029	0
160|*|c37313_g1_i4	5584	17.4068767908309	30.2292263610315	32.8080229226361	19.5558739255014	0	63.0372492836676	0
161|*|c35854_g1_i1	5578	20.8856220867695	30.7278594478308	28.6303334528505	19.7561850125493	0	59.3581929006813	0
162|*|c37557_g1_i2	5574	18.5324721923215	28.9738069608898	33.1539289558665	19.3397918909221	0	62.1277359167564	0
163|*|c37465_g3_i1	5566	23.5537190082645	29.7700323392023	25.3503413582465	21.3259072942867	0	55.1203736974488	0
164|*|c36897_g1_i3	5559	22.9537686634287	30.3291958985429	25.4002518438568	21.3167835941716	0	55.7294477423997	0
165|*|c37447_g2_i1	5557	19.4889328774519	30.5560554255893	29.83624257693	20.1187691200288	0	60.3922980025193	0
166|*|c37628_g2_i1	5534	19.172388868811	31.3516443801952	30.2674376581135	19.2085290928804	0	61.6190820383086	0
167|*|c37638_g1_i5	5527	16.7541161570472	32.1693504613715	30.8485616066582	20.2279717749231	0	63.0179120680297	0
168|*|c37514_g2_i1	5504	22.3110465116279	27.4709302325581	26.6170058139535	23.6010174418605	0	54.0879360465116	0
169|*|c37657_g2_i5	5490	18.2331511839709	32.0036429872495	31.4754098360656	18.287795992714	0	63.4790528233151	0
170|*|c37612_g5_i2	5471	16.9438859440687	29.22683238896	33.7415463352221	20.0877353317492	0	62.9683787241821	0
171|*|c37485_g1_i3	5468	20.1353328456474	28.9319678127286	27.4871982443307	23.4455010972933	0	56.4191660570593	0
172|*|c37303_g1_i1	5452	22.2120322817315	28.1731474688188	27.9163609684519	21.6984592809978	0	56.0895084372707	0
173|*|c37648_g2_i3	5434	17.2432830327567	30.5115936694884	29.6650717703349	22.5800515274199	0	60.1766654398233	0
174|*|c37578_g8_i4	5418	19.9704688076781	28.4606866002215	29.125138427464	22.4437061646364	0	57.5858250276855	0
175|*|c37677_g1_i1	5401	18.8298463247547	29.8833549342714	31.8274393630809	19.459359377893	0	61.7107942973523	0
176|*|c37426_g1_i2	5399	16.9846267827375	30.5982589368402	32.913502500463	19.5036117799593	0	63.5117614373032	0
177|*|c37613_g2_i4	5377	19.5648130928027	32.2112702250325	29.0310582108983	19.1928584712665	0	61.2423284359308	0
178|*|c37686_g1_i3	5375	17.153488372093	30.493023255814	31.4046511627907	20.9488372093023	0	61.8976744186047	0
179|*|c37482_g9_i2	5358	17.9357969391564	31.9522209779769	31.1496827174319	18.9622993654349	0	63.1019036954087	0
